# Command: ../build/unigen_static -e 0.3 -r {} --samples 100 benchmarks/LoginService.sk_20_34.cnf.gz.no_w.cnf
# Repetitions: 20
# Parallel Workers: 8
Value,Runs,Mean,Median,Min,Max
1.1,20,85.90876129119988,85.6410724239995,82.51087794500017,90.84742755300067
1.2,20,41.69798694025003,41.707790813999964,37.60508316400046,45.50789900200107
1.3,20,35.117350748099945,34.95959535850034,33.04037499200058,38.11095224699966
1.4,20,43.81161865320009,44.071298333500636,40.32669818999966,46.68904063300033
1.5,20,31.928403105899907,32.216747721500724,29.42810654599998,33.87124194699936
1.52,20,28.415552746199864,28.234742184499737,25.644252423999205,30.864047359000324
1.6,20,29.867341396699885,30.862543112501044,22.446480013999462,34.168035378999775
