Input_File,Run_ID,e,r,sampleout,samples,Outcome,Sampling_Case,Success_Prob,Solutions_Found,ApproxMC_Time,Sampling_Time,Avg_Sample_Time,CPU_Time,Wall_Time,Space_MB,Result_Code,Directory_Ref
01B-3.cnf.gz.no_w.cnf,23,0.3,1.5,sampleout,100,Timeout (Finished),Non-Ideal,0.0000,0,330.3400,995.3000,N/A,1326.17,3902.89,57.0,2,01B-3.cnf.gz.no_w.cnf_r_1.5_e_0.3_samples_100_sampleout_sampleout_Run23
01B-3.cnf.gz.no_w.cnf,24,0.3,1.6,sampleout,100,Timeout (Finished),Non-Ideal,0.0000,0,327.6700,1017.0600,N/A,1345.33,3902.87,54.0,2,01B-3.cnf.gz.no_w.cnf_r_1.6_e_0.3_samples_100_sampleout_sampleout_Run24
01B-4.cnf.gz.no_w.cnf,25,0.3,1.1,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,943.1200,,N/A,2595.26,3901.39,58.0,2,01B-4.cnf.gz.no_w.cnf_r_1.1_e_0.3_samples_100_sampleout_sampleout_Run25
01B-4.cnf.gz.no_w.cnf,26,0.3,1.2,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,725.0300,,N/A,2632.39,3901.4,55.0,2,01B-4.cnf.gz.no_w.cnf_r_1.2_e_0.3_samples_100_sampleout_sampleout_Run26
01B-4.cnf.gz.no_w.cnf,27,0.3,1.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,596.0900,,N/A,2647.65,3901.35,59.0,2,01B-4.cnf.gz.no_w.cnf_r_1.3_e_0.3_samples_100_sampleout_sampleout_Run27
01B-4.cnf.gz.no_w.cnf,28,0.3,1.4,sampleout,100,Success,Non-Ideal,0.0000,0,636.3000,1595.2100,N/A,2232.43,3014.18,56.0,0,01B-4.cnf.gz.no_w.cnf_r_1.4_e_0.3_samples_100_sampleout_sampleout_Run28
01B-4.cnf.gz.no_w.cnf,29,0.3,1.5,sampleout,100,Success,Non-Ideal,0.0000,0,532.7300,1580.0600,N/A,2113.58,2899.19,56.0,0,01B-4.cnf.gz.no_w.cnf_r_1.5_e_0.3_samples_100_sampleout_sampleout_Run29
01B-4.cnf.gz.no_w.cnf,30,0.3,1.6,sampleout,100,Success,Non-Ideal,0.0000,0,526.3000,1220.7000,N/A,1747.71,2382.74,55.0,0,01B-4.cnf.gz.no_w.cnf_r_1.6_e_0.3_samples_100_sampleout_sampleout_Run30
01B-5.cnf.gz.no_w.cnf,31,0.3,1.1,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1855.1500,,N/A,2945.39,3901.29,67.0,2,01B-5.cnf.gz.no_w.cnf_r_1.1_e_0.3_samples_100_sampleout_sampleout_Run31
01B-5.cnf.gz.no_w.cnf,32,0.3,1.2,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1507.6700,,N/A,2899.52,3901.29,52.0,2,01B-5.cnf.gz.no_w.cnf_r_1.2_e_0.3_samples_100_sampleout_sampleout_Run32
01B-5.cnf.gz.no_w.cnf,33,0.3,1.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1497.2700,,N/A,2824.04,3901.36,59.0,2,01B-5.cnf.gz.no_w.cnf_r_1.3_e_0.3_samples_100_sampleout_sampleout_Run33
01B-5.cnf.gz.no_w.cnf,34,0.3,1.4,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1344.2300,,N/A,2867.83,3901.33,62.0,2,01B-5.cnf.gz.no_w.cnf_r_1.4_e_0.3_samples_100_sampleout_sampleout_Run34
01B-5.cnf.gz.no_w.cnf,35,0.3,1.5,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1173.6800,,N/A,2841.54,3901.34,55.0,2,01B-5.cnf.gz.no_w.cnf_r_1.5_e_0.3_samples_100_sampleout_sampleout_Run35
01B-5.cnf.gz.no_w.cnf,36,0.3,1.6,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1167.8800,,N/A,2856.33,3901.32,63.0,2,01B-5.cnf.gz.no_w.cnf_r_1.6_e_0.3_samples_100_sampleout_sampleout_Run36
02A-1.cnf.gz.no_w.cnf,37,0.3,1.1,sampleout,100,Success,Ideal,0.0000,0,0.1200,0.0100,N/A,0.13,0.25,6.0,0,02A-1.cnf.gz.no_w.cnf_r_1.1_e_0.3_samples_100_sampleout_sampleout_Run37
02A-1.cnf.gz.no_w.cnf,38,0.3,1.2,sampleout,100,Success,Non-Ideal,0.0000,0,0.1000,2.2800,N/A,2.42,3.07,8.0,0,02A-1.cnf.gz.no_w.cnf_r_1.2_e_0.3_samples_100_sampleout_sampleout_Run38
02A-1.cnf.gz.no_w.cnf,39,0.3,1.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.0800,2.0000,N/A,2.11,2.66,8.0,0,02A-1.cnf.gz.no_w.cnf_r_1.3_e_0.3_samples_100_sampleout_sampleout_Run39
02A-1.cnf.gz.no_w.cnf,40,0.3,1.4,sampleout,100,Success,Non-Ideal,0.0000,0,0.0800,1.7700,N/A,1.87,2.49,8.0,0,02A-1.cnf.gz.no_w.cnf_r_1.4_e_0.3_samples_100_sampleout_sampleout_Run40
02A-1.cnf.gz.no_w.cnf,41,0.3,1.5,sampleout,100,Success,Non-Ideal,0.0000,0,0.0800,2.2400,N/A,2.34,3.18,8.0,0,02A-1.cnf.gz.no_w.cnf_r_1.5_e_0.3_samples_100_sampleout_sampleout_Run41
02A-1.cnf.gz.no_w.cnf,42,0.3,1.6,sampleout,100,Success,Non-Ideal,0.0000,0,0.0800,1.6000,N/A,1.7,2.26,6.0,0,02A-1.cnf.gz.no_w.cnf_r_1.6_e_0.3_samples_100_sampleout_sampleout_Run42
02A-2.cnf.gz.no_w.cnf,43,0.3,1.1,sampleout,100,Success,Ideal,0.0000,0,0.0100,,N/A,0.0,0.03,0.0,0,02A-2.cnf.gz.no_w.cnf_r_1.1_e_0.3_samples_100_sampleout_sampleout_Run43
02A-2.cnf.gz.no_w.cnf,44,0.3,1.2,sampleout,100,Success,Ideal,0.0000,0,0.0100,,N/A,0.0,0.02,0.0,0,02A-2.cnf.gz.no_w.cnf_r_1.2_e_0.3_samples_100_sampleout_sampleout_Run44
02A-2.cnf.gz.no_w.cnf,45,0.3,1.3,sampleout,100,Success,Ideal,0.0000,0,0.0100,,N/A,0.0,0.04,0.0,0,02A-2.cnf.gz.no_w.cnf_r_1.3_e_0.3_samples_100_sampleout_sampleout_Run45
02A-2.cnf.gz.no_w.cnf,46,0.3,1.4,sampleout,100,Success,Non-Ideal,0.0000,0,0.0100,2.6300,N/A,2.66,3.57,6.0,0,02A-2.cnf.gz.no_w.cnf_r_1.4_e_0.3_samples_100_sampleout_sampleout_Run46
02A-2.cnf.gz.no_w.cnf,47,0.3,1.5,sampleout,100,Success,Non-Ideal,0.0000,0,0.0100,1.8000,N/A,1.83,2.46,6.0,0,02A-2.cnf.gz.no_w.cnf_r_1.5_e_0.3_samples_100_sampleout_sampleout_Run47
02A-2.cnf.gz.no_w.cnf,48,0.3,1.6,sampleout,100,Success,Non-Ideal,0.0000,0,0.0100,2.9200,N/A,2.98,3.96,6.0,0,02A-2.cnf.gz.no_w.cnf_r_1.6_e_0.3_samples_100_sampleout_sampleout_Run48
02A-3.cnf.gz.no_w.cnf,49,0.3,1.1,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.06,0.0,0,02A-3.cnf.gz.no_w.cnf_r_1.1_e_0.3_samples_100_sampleout_sampleout_Run49
02A-3.cnf.gz.no_w.cnf,50,0.3,1.2,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.01,0.0,0,02A-3.cnf.gz.no_w.cnf_r_1.2_e_0.3_samples_100_sampleout_sampleout_Run50
02A-3.cnf.gz.no_w.cnf,51,0.3,1.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.01,0.0,0,02A-3.cnf.gz.no_w.cnf_r_1.3_e_0.3_samples_100_sampleout_sampleout_Run51
02A-3.cnf.gz.no_w.cnf,52,0.3,1.4,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.05,0.0,0,02A-3.cnf.gz.no_w.cnf_r_1.4_e_0.3_samples_100_sampleout_sampleout_Run52
02A-3.cnf.gz.no_w.cnf,53,0.3,1.5,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.01,0.0,0,02A-3.cnf.gz.no_w.cnf_r_1.5_e_0.3_samples_100_sampleout_sampleout_Run53
02A-3.cnf.gz.no_w.cnf,54,0.3,1.6,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.02,0.0,0,02A-3.cnf.gz.no_w.cnf_r_1.6_e_0.3_samples_100_sampleout_sampleout_Run54
02B-1.cnf.gz.no_w.cnf,55,0.3,1.1,sampleout,100,Success,Non-Ideal,0.0000,0,13.7500,299.3800,N/A,313.59,442.3,38.0,0,02B-1.cnf.gz.no_w.cnf_r_1.1_e_0.3_samples_100_sampleout_sampleout_Run55
02B-1.cnf.gz.no_w.cnf,56,0.3,1.2,sampleout,100,Success,Non-Ideal,0.0000,0,10.7300,122.6500,N/A,133.63,169.58,33.0,0,02B-1.cnf.gz.no_w.cnf_r_1.2_e_0.3_samples_100_sampleout_sampleout_Run56
02B-1.cnf.gz.no_w.cnf,57,0.3,1.3,sampleout,100,Success,Non-Ideal,0.0000,0,9.3400,64.1200,N/A,73.65,98.46,28.0,0,02B-1.cnf.gz.no_w.cnf_r_1.3_e_0.3_samples_100_sampleout_sampleout_Run57
02B-1.cnf.gz.no_w.cnf,58,0.3,1.4,sampleout,100,Success,Non-Ideal,0.0000,0,8.7000,62.1700,N/A,71.09,90.14,29.0,0,02B-1.cnf.gz.no_w.cnf_r_1.4_e_0.3_samples_100_sampleout_sampleout_Run58
02B-1.cnf.gz.no_w.cnf,59,0.3,1.5,sampleout,100,Success,Non-Ideal,0.0000,0,7.8900,40.6900,N/A,48.73,63.48,30.0,0,02B-1.cnf.gz.no_w.cnf_r_1.5_e_0.3_samples_100_sampleout_sampleout_Run59
02B-1.cnf.gz.no_w.cnf,60,0.3,1.6,sampleout,100,Success,Non-Ideal,0.0000,0,7.8500,49.1800,N/A,57.25,76.17,28.0,0,02B-1.cnf.gz.no_w.cnf_r_1.6_e_0.3_samples_100_sampleout_sampleout_Run60
02B-2.cnf.gz.no_w.cnf,61,0.3,1.1,sampleout,100,Success,Non-Ideal,0.0000,0,24.8100,417.6700,N/A,442.88,586.51,47.0,0,02B-2.cnf.gz.no_w.cnf_r_1.1_e_0.3_samples_100_sampleout_sampleout_Run61
02B-2.cnf.gz.no_w.cnf,62,0.3,1.2,sampleout,100,Success,Non-Ideal,0.0000,0,20.2200,171.0700,N/A,191.49,242.17,37.0,0,02B-2.cnf.gz.no_w.cnf_r_1.2_e_0.3_samples_100_sampleout_sampleout_Run62
02B-2.cnf.gz.no_w.cnf,63,0.3,1.3,sampleout,100,Success,Non-Ideal,0.0000,0,18.4900,112.8000,N/A,131.47,165.47,37.0,0,02B-2.cnf.gz.no_w.cnf_r_1.3_e_0.3_samples_100_sampleout_sampleout_Run63
02B-2.cnf.gz.no_w.cnf,64,0.3,1.4,sampleout,100,Success,Non-Ideal,0.0000,0,18.5800,91.1800,N/A,109.97,142.94,37.0,0,02B-2.cnf.gz.no_w.cnf_r_1.4_e_0.3_samples_100_sampleout_sampleout_Run64
02B-2.cnf.gz.no_w.cnf,65,0.3,1.5,sampleout,100,Success,Non-Ideal,0.0000,0,17.5600,96.4800,N/A,114.33,153.16,40.0,0,02B-2.cnf.gz.no_w.cnf_r_1.5_e_0.3_samples_100_sampleout_sampleout_Run65
02B-2.cnf.gz.no_w.cnf,66,0.3,1.6,sampleout,100,Success,Non-Ideal,0.0000,0,17.4200,78.1800,N/A,95.85,120.74,38.0,0,02B-2.cnf.gz.no_w.cnf_r_1.6_e_0.3_samples_100_sampleout_sampleout_Run66
02B-3.cnf.gz.no_w.cnf,67,0.3,1.1,sampleout,100,Success,Non-Ideal,0.0000,0,39.0000,854.9500,N/A,894.58,1234.9,54.0,0,02B-3.cnf.gz.no_w.cnf_r_1.1_e_0.3_samples_100_sampleout_sampleout_Run67
02B-3.cnf.gz.no_w.cnf,68,0.3,1.2,sampleout,100,Success,Non-Ideal,0.0000,0,33.6000,390.0200,N/A,424.13,589.17,48.0,0,02B-3.cnf.gz.no_w.cnf_r_1.2_e_0.3_samples_100_sampleout_sampleout_Run68
02B-3.cnf.gz.no_w.cnf,69,0.3,1.3,sampleout,100,Success,Non-Ideal,0.0000,0,34.6300,246.6700,N/A,281.65,374.49,50.0,0,02B-3.cnf.gz.no_w.cnf_r_1.3_e_0.3_samples_100_sampleout_sampleout_Run69
02B-3.cnf.gz.no_w.cnf,70,0.3,1.4,sampleout,100,Success,Non-Ideal,0.0000,0,35.0300,219.0500,N/A,254.47,338.45,48.0,0,02B-3.cnf.gz.no_w.cnf_r_1.4_e_0.3_samples_100_sampleout_sampleout_Run70
