Input_File,Run_ID,e,sampleout,samples,Outcome,Sampling_Case,Success_Prob,Solutions_Found,ApproxMC_Time,Sampling_Time,Avg_Sample_Time,CPU_Time,Wall_Time,Space_MB,Result_Code,Directory_Ref
04B-3.cnf.gz.no_w.cnf,26,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3062.04,3901.51,84.0,2,04B-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run26
04B-4.cnf.gz.no_w.cnf,27,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2987.68,3901.38,86.0,2,04B-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run27
05A-1.cnf.gz.no_w.cnf,28,0.3,sampleout,100,Success,Ideal,0.0000,0,0.0200,0.0100,N/A,0.0,0.06,0.0,0,05A-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run28
05A-2.cnf.gz.no_w.cnf,29,0.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.02,0.0,0,05A-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run29
05B-1.cnf.gz.no_w.cnf,30,0.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,55.5100,,N/A,2949.26,3901.24,65.0,2,05B-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run30
05B-2.cnf.gz.no_w.cnf,31,0.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.04,0.0,0,05B-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run31
05B-3.cnf.gz.no_w.cnf,32,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,2957.05,3901.24,86.0,2,05B-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run32
06A-1.cnf.gz.no_w.cnf,33,0.3,sampleout,100,Success,Ideal,0.0000,0,0.0200,0.0100,N/A,0.0,0.1,0.0,0,06A-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run33
06A-2.cnf.gz.no_w.cnf,34,0.3,sampleout,100,Success,Ideal,0.0000,0,0.0100,,N/A,0.0,0.05,0.0,0,06A-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run34
06A-3.cnf.gz.no_w.cnf,35,0.3,sampleout,100,Success,Ideal,0.0000,0,0.0100,,N/A,0.0,0.03,0.0,0,06A-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run35
06A-4.cnf.gz.no_w.cnf,36,0.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.03,0.0,0,06A-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run36
06B-1.cnf.gz.no_w.cnf,37,0.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,62.5600,,N/A,3012.04,3901.22,60.0,2,06B-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run37
06B-2.cnf.gz.no_w.cnf,38,0.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,210.8300,,N/A,3187.23,3901.21,72.0,2,06B-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run38
06B-3.cnf.gz.no_w.cnf,39,0.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,485.4900,,N/A,3099.72,3901.2,69.0,2,06B-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run39
06B-4.cnf.gz.no_w.cnf,40,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3033.15,3901.22,88.0,2,06B-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run40
07A-1.cnf.gz.no_w.cnf,41,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.2000,17.2400,N/A,17.59,21.25,8.0,0,07A-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run41
07A-2.cnf.gz.no_w.cnf,42,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.3300,30.1000,N/A,30.64,37.69,9.0,0,07A-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run42
07A-3.cnf.gz.no_w.cnf,43,0.3,sampleout,100,Success,Non-Ideal,0.0000,0,0.1300,14.4200,N/A,14.71,17.69,11.0,0,07A-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run43
07A-4.cnf.gz.no_w.cnf,44,0.3,sampleout,100,Success,Ideal,0.0000,0,0.0600,0.0100,N/A,0.07,0.13,6.0,0,07A-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run44
07A-5.cnf.gz.no_w.cnf,45,0.3,sampleout,100,Success,Ideal,0.0000,0,,,N/A,0.0,0.02,0.0,0,07A-5.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run45
07B-1.cnf.gz.no_w.cnf,46,0.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,998.2500,,N/A,3105.85,3901.24,64.0,2,07B-1.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run46
07B-2.cnf.gz.no_w.cnf,47,0.3,sampleout,100,Timeout (Sampling),Non-Ideal,0.0000,0,1508.5100,,N/A,3041.6,3901.25,76.0,2,07B-2.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run47
07B-3.cnf.gz.no_w.cnf,48,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3206.59,3901.24,86.0,2,07B-3.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run48
07B-4.cnf.gz.no_w.cnf,49,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3073.8,3901.24,92.0,2,07B-4.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run49
07B-5.cnf.gz.no_w.cnf,50,0.3,sampleout,100,Timeout (ApproxMC),Unknown,0.0000,0,,,N/A,3039.88,3901.23,79.0,2,07B-5.cnf.gz.no_w.cnf_e_0.3_samples_100_sampleout_sampleout_Run50
