# Command: ../build/unigen_static -e 0.3 -r {} --samples 100 benchmarks/GuidanceService.sk_4_27.cnf.gz.no_w.cnf
# Repetitions: 20
# Parallel Workers: 8
Value,Runs,Mean,Median,Min,Max
1.1,20,15.68488332215038,15.635484136000741,14.145792531000552,17.44394023300083
1.2,20,4.89600361449975,4.9908218439995835,3.2849991589991987,5.648384844998873
1.3,20,2.842765797049924,2.823823629000799,2.280045691999476,3.4826933490003285
1.4,20,2.143447947200002,2.1653590469995834,1.7120831120009825,2.68595065000045
1.5,20,2.5001606702502612,2.554526422500203,1.9400754100006452,2.9673615800002153
1.52,20,2.4246239534998493,2.356224056499741,1.8132812820003892,3.0559566390002146
1.6,20,1.5184904525001002,1.52691728300033,1.0937025670009461,2.0042659350001486
