# Command: ../build/unigen_static -e 0.3 -r 1.6 --samples {} benchmarks/dummy.cnf
# Repetitions: 20
# Parallel Workers: 8
Value,Runs,Mean,Median,Min,Max
50,20,0.11840587179976865,0.11892592450021766,0.07649744200170971,0.16021237699897029
100,20,0.3666719439504959,0.3659986080001545,0.26053081400095834,0.4658785680003348
150,20,277.6668517313994,278.3231456355006,269.9287188099988,284.5354404059981
200,20,892.0536986090998,907.3644438889987,842.1829860680009,924.9455324320006
250,20,998.7110969813994,998.8585489585003,970.0840625659985,1024.6380529550006
300,20,1805.98426184925,1943.6687178650009,1519.2973128890008,2002.6171068920012
